Launching 960 calls across 24 models...
  [+] GPT-5.5 (xhigh)                | normal | reasoning_off | run  0 | other_action | rt=    0 ot=   13 | $0.0005
  [+] GPT-5.5 (xhigh)                | normal | default       | run  4 | other_action | rt=   48 ot=   62 | $0.0020
  [+] GPT-5.5 (xhigh)                | normal | reasoning_off | run  1 | no_action    | rt=    0 ot=   12 | $0.0005
  [+] GPT-5.5 (xhigh)                | normal | default       | run  2 | other_action | rt=   47 ot=   61 | $0.0020
  [+] GPT-5.5 (xhigh)                | normal | default       | run  6 | other_action | rt=   56 ot=   75 | $0.0024
  [+] GPT-5.5 (xhigh)                | normal | default       | run  8 | other_action | rt=   48 ot=   62 | $0.0020
  [+] GPT-5.5 (xhigh)                | normal | default       | run  9 | other_action | rt=   55 ot=   80 | $0.0025
  [+] GPT-5.5 (xhigh)                | normal | default       | run  0 | other_action | rt=   83 ot=   97 | $0.0030
  [+] GPT-5.5 (xhigh)                | normal | default       | run  3 | other_action | rt=   45 ot=   64 | $0.0021
  [+] GPT-5.5 (xhigh)                | normal | default       | run  1 | other_action | rt=   70 ot=   86 | $0.0027
  [+] GPT-5.5 (xhigh)                | normal | default       | run  5 | other_action | rt=   55 ot=   74 | $0.0024
  [+] GPT-5.5 (xhigh)                | normal | default       | run  7 | other_action | rt=   56 ot=   76 | $0.0024
  [+] GPT-5.5 (xhigh)                | normal | reasoning_off | run  2 | other_action | rt=    0 ot=   12 | $0.0005
  [+] GPT-5.5 (xhigh)                | normal | reasoning_off | run  3 | no_action    | rt=    0 ot=   14 | $0.0006
  [+] GPT-5.5 (xhigh)                | normal | reasoning_off | run  4 | other_action | rt=    0 ot=   31 | $0.0011
  [+] GPT-5.5 (xhigh)                | normal | reasoning_off | run  5 | no_action    | rt=    0 ot=   15 | $0.0006
  [+] GPT-5.5 (xhigh)                | normal | reasoning_off | run  7 | no_action    | rt=    0 ot=   12 | $0.0005
  [+] GPT-5.5 (xhigh)                | normal | reasoning_off | run  8 | other_action | rt=    0 ot=   13 | $0.0005
  [+] GPT-5.5 (xhigh)                | normal | reasoning_off | run  9 | no_action    | rt=    0 ot=   19 | $0.0007
  [+] GPT-5.5 (xhigh)                | strict | default       | run  0 | other_action | rt=   36 ot=   68 | $0.0022
  [+] GPT-5.5 (xhigh)                | normal | reasoning_off | run  6 | other_action | rt=    0 ot=   27 | $0.0009
  [+] GPT-5.5 (xhigh)                | strict | default       | run  2 | other_action | rt=   23 ot=   42 | $0.0015
  [+] GPT-5.5 (xhigh)                | strict | default       | run  4 | other_action | rt=   33 ot=   52 | $0.0018
  [+] GPT-5.5 (xhigh)                | strict | reasoning_off | run  0 | no_action    | rt=    0 ot=   19 | $0.0008
  [+] GPT-5.5 (xhigh)                | strict | default       | run  5 | other_action | rt=   65 ot=   87 | $0.0028
  [+] GPT-5.5 (xhigh)                | strict | reasoning_off | run  1 | other_action | rt=    0 ot=   27 | $0.0010
  [+] GPT-5.5 (xhigh)                | strict | reasoning_off | run  2 | other_action | rt=    0 ot=   30 | $0.0011
  [+] GPT-5.5 (xhigh)                | strict | default       | run  1 | other_action | rt=   41 ot=   61 | $0.0020
  [+] GPT-5.5 (xhigh)                | strict | default       | run  3 | other_action | rt=   69 ot=   87 | $0.0028
  [+] GPT-5.5 (xhigh)                | strict | reasoning_off | run  3 | other_action | rt=    0 ot=   29 | $0.0011
  [+] GPT-5.5 (xhigh)                | strict | reasoning_off | run  4 | other_action | rt=    0 ot=   25 | $0.0009
  [+] GPT-5.5 (xhigh)                | strict | reasoning_off | run  5 | other_action | rt=    0 ot=   27 | $0.0010
  [+] GPT-5.5 (xhigh)                | strict | default       | run  8 | other_action | rt=   66 ot=   86 | $0.0028
  [+] GPT-5.5 (xhigh)                | strict | default       | run  7 | other_action | rt=   95 ot=  115 | $0.0036
  [+] GPT-5.5 (xhigh)                | strict | default       | run  6 | other_action | rt=   74 ot=   97 | $0.0031
  [+] GPT-5.5 (xhigh)                | strict | reasoning_off | run  7 | no_action    | rt=    0 ot=   18 | $0.0007
  [+] GPT-5.5 (xhigh)                | strict | reasoning_off | run  8 | other_action | rt=    0 ot=   29 | $0.0011
  [+] GPT-5.5 (xhigh)                | strict | reasoning_off | run  6 | other_action | rt=    0 ot=   29 | $0.0011
  [+] GPT-5.5 (xhigh)                | strict | reasoning_off | run  9 | other_action | rt=    0 ot=   30 | $0.0011
  [+] GPT-5.5 (xhigh)                | strict | default       | run  9 | other_action | rt=   75 ot=   95 | $0.0030
  [+] GPT-5.4 (xhigh)                | normal | reasoning_off | run  1 | other_action | rt=    0 ot=   21 | $0.0004
  [+] GPT-5.4 (xhigh)                | normal | default       | run  6 | other_action | rt=  112 ot=  133 | $0.0021
  [+] GPT-5.4 (xhigh)                | normal | default       | run  0 | other_action | rt=  131 ot=  149 | $0.0023
  [+] GPT-5.4 (xhigh)                | normal | default       | run  3 | other_action | rt=   63 ot=   79 | $0.0013
  [+] GPT-5.4 (xhigh)                | normal | reasoning_off | run  0 | no_action    | rt=    0 ot=   27 | $0.0005
  [+] GPT-5.4 (xhigh)                | normal | default       | run  4 | other_action | rt=  103 ot=  117 | $0.0018
  [+] GPT-5.4 (xhigh)                | normal | default       | run  5 | other_action | rt=   84 ot=  110 | $0.0017
  [+] GPT-5.4 (xhigh)                | normal | default       | run  7 | other_action | rt=   91 ot=  117 | $0.0018
  [+] GPT-5.4 (xhigh)                | normal | default       | run  2 | other_action | rt=  147 ot=  168 | $0.0026
  [+] GPT-5.4 (xhigh)                | normal | reasoning_off | run  2 | other_action | rt=    0 ot=   20 | $0.0004
  [+] GPT-5.4 (xhigh)                | normal | default       | run  8 | other_action | rt=  169 ot=  191 | $0.0029
  [+] GPT-5.4 (xhigh)                | normal | reasoning_off | run  4 | no_action    | rt=    0 ot=   21 | $0.0004
  [+] GPT-5.4 (xhigh)                | normal | default       | run  1 | other_action | rt=  162 ot=  175 | $0.0027
  [+] GPT-5.4 (xhigh)                | normal | reasoning_off | run  3 | other_action | rt=    0 ot=   20 | $0.0004
  [+] GPT-5.4 (xhigh)                | normal | reasoning_off | run  5 | other_action | rt=    0 ot=   20 | $0.0004
  [+] GPT-5.4 (xhigh)                | normal | reasoning_off | run  9 | other_action | rt=    0 ot=   28 | $0.0005
  [+] GPT-5.4 (xhigh)                | normal | reasoning_off | run  7 | no_action    | rt=    0 ot=   26 | $0.0005
  [+] GPT-5.4 (xhigh)                | normal | default       | run  9 | other_action | rt=  143 ot=  165 | $0.0025
  [+] GPT-5.4 (xhigh)                | normal | reasoning_off | run  6 | other_action | rt=    0 ot=   21 | $0.0004
  [+] GPT-5.4 (xhigh)                | normal | reasoning_off | run  8 | no_action    | rt=    0 ot=   21 | $0.0004
  [+] GPT-5.4 (xhigh)                | strict | reasoning_off | run  0 | other_action | rt=    0 ot=   22 | $0.0004
  [+] GPT-5.4 (xhigh)                | strict | reasoning_off | run  1 | other_action | rt=    0 ot=   25 | $0.0005
  [+] GPT-5.4 (xhigh)                | strict | default       | run  1 | other_action | rt=   54 ot=   73 | $0.0012
  [+] GPT-5.4 (xhigh)                | strict | default       | run  3 | other_action | rt=   86 ot=  112 | $0.0018
  [+] GPT-5.4 (xhigh)                | strict | default       | run  0 | other_action | rt=   78 ot=  108 | $0.0017
  [+] GPT-5.4 (xhigh)                | strict | default       | run  2 | other_action | rt=  134 ot=  157 | $0.0025
  [+] GPT-5.4 (xhigh)                | strict | reasoning_off | run  2 | other_action | rt=    0 ot=   24 | $0.0005
  [+] GPT-5.4 (xhigh)                | strict | default       | run  4 | other_action | rt=  100 ot=  114 | $0.0018
  [+] GPT-5.4 (xhigh)                | strict | reasoning_off | run  3 | other_action | rt=    0 ot=   25 | $0.0005
  [+] GPT-5.4 (xhigh)                | strict | default       | run  7 | other_action | rt=   90 ot=  108 | $0.0017
  [+] GPT-5.4 (xhigh)                | strict | reasoning_off | run  5 | other_action | rt=    0 ot=   26 | $0.0005
  [+] GPT-5.4 (xhigh)                | strict | default       | run  8 | other_action | rt=   80 ot=  101 | $0.0016
  [+] GPT-5.4 (xhigh)                | strict | reasoning_off | run  6 | other_action | rt=    0 ot=   16 | $0.0003
  [+] GPT-5.4 (xhigh)                | strict | default       | run  6 | other_action | rt=  148 ot=  170 | $0.0026
  [+] GPT-5.4 (xhigh)                | strict | reasoning_off | run  4 | other_action | rt=    0 ot=   20 | $0.0004
  [+] GPT-5.4 (xhigh)                | strict | default       | run  5 | other_action | rt=  156 ot=  185 | $0.0029
  [+] GPT-5.4 (xhigh)                | strict | reasoning_off | run  8 | other_action | rt=    0 ot=   25 | $0.0005
  [+] GPT-5.4 (xhigh)                | strict | reasoning_off | run  7 | other_action | rt=    0 ot=   28 | $0.0005
  [+] GPT-5.4 (xhigh)                | strict | default       | run  9 | other_action | rt=  160 ot=  179 | $0.0028
  [+] GPT-5.4 (xhigh)                | strict | reasoning_off | run  9 | no_action    | rt=    0 ot=   18 | $0.0004
  [+] GPT-5.4 mini (xhigh)           | normal | reasoning_off | run  0 | no_action    | rt=    0 ot=   39 | $0.0002
  [+] GPT-5.4 mini (xhigh)           | normal | default       | run  4 | no_action    | rt=  114 ot=  144 | $0.0007
  [+] GPT-5.4 mini (xhigh)           | normal | default       | run  0 | other_action | rt=   93 ot=  120 | $0.0006
  [+] GPT-5.4 mini (xhigh)           | normal | default       | run  5 | other_action | rt=  100 ot=  123 | $0.0006
  [+] GPT-5.4 mini (xhigh)           | normal | default       | run  3 | other_action | rt=  100 ot=  133 | $0.0006
  [+] GPT-5.4 mini (xhigh)           | normal | default       | run  1 | other_action | rt=  114 ot=  137 | $0.0006
  [+] GPT-5.4 mini (xhigh)           | normal | default       | run  7 | other_action | rt=   67 ot=   85 | $0.0004
  [+] GPT-5.4 mini (xhigh)           | normal | default       | run  2 | no_action    | rt=  111 ot=  132 | $0.0006
  [+] GPT-5.4 mini (xhigh)           | normal | default       | run  8 | other_action | rt=   86 ot=  102 | $0.0005
  [+] GPT-5.4 mini (xhigh)           | normal | default       | run  6 | other_action | rt=  132 ot=  148 | $0.0007
  [+] GPT-5.4 mini (xhigh)           | normal | reasoning_off | run  2 | other_action | rt=    0 ot=   28 | $0.0001
  [+] GPT-5.4 mini (xhigh)           | normal | reasoning_off | run  1 | no_action    | rt=    0 ot=   34 | $0.0002
  [+] GPT-5.4 mini (xhigh)           | normal | reasoning_off | run  3 | other_action | rt=    0 ot=   16 | $0.0001
  [+] GPT-5.4 mini (xhigh)           | normal | default       | run  9 | other_action | rt=  130 ot=  149 | $0.0007
  [+] GPT-5.4 mini (xhigh)           | normal | reasoning_off | run  4 | no_action    | rt=    0 ot=   45 | $0.0002
  [+] GPT-5.4 mini (xhigh)           | normal | reasoning_off | run  5 | no_action    | rt=    0 ot=   46 | $0.0002
  [+] GPT-5.4 mini (xhigh)           | normal | reasoning_off | run  6 | other_action | rt=    0 ot=   27 | $0.0001
  [+] GPT-5.4 mini (xhigh)           | normal | reasoning_off | run  7 | no_action    | rt=    0 ot=   31 | $0.0002
  [+] GPT-5.4 mini (xhigh)           | normal | reasoning_off | run  8 | no_action    | rt=    0 ot=   31 | $0.0002
  [+] GPT-5.4 mini (xhigh)           | normal | reasoning_off | run  9 | no_action    | rt=    0 ot=   28 | $0.0001
  [+] GPT-5.4 mini (xhigh)           | strict | reasoning_off | run  0 | no_action    | rt=    0 ot=   29 | $0.0002
  [+] GPT-5.4 mini (xhigh)           | strict | default       | run  0 | other_action | rt=  118 ot=  144 | $0.0007
  [+] GPT-5.4 mini (xhigh)           | strict | default       | run  4 | other_action | rt=   80 ot=   96 | $0.0005
  [+] GPT-5.4 mini (xhigh)           | strict | default       | run  7 | other_action | rt=   82 ot=  100 | $0.0005
  [+] GPT-5.4 mini (xhigh)           | strict | default       | run  9 | other_action | rt=   95 ot=  120 | $0.0006
  [+] GPT-5.4 mini (xhigh)           | strict | default       | run  1 | other_action | rt=   91 ot=  121 | $0.0006
  [+] GPT-5.4 mini (xhigh)           | strict | default       | run  2 | other_action | rt=  252 ot=  276 | $0.0013
  [+] GPT-5.4 mini (xhigh)           | strict | default       | run  6 | other_action | rt=  102 ot=  125 | $0.0006
  [+] GPT-5.4 mini (xhigh)           | strict | reasoning_off | run  1 | other_action | rt=    0 ot=   27 | $0.0002
  [+] GPT-5.4 mini (xhigh)           | strict | default       | run  8 | other_action | rt=   64 ot=   83 | $0.0004
  [+] GPT-5.4 mini (xhigh)           | strict | default       | run  3 | other_action | rt=  135 ot=  156 | $0.0007
  [+] GPT-5.4 mini (xhigh)           | strict | reasoning_off | run  2 | other_action | rt=    0 ot=   29 | $0.0002
  [+] GPT-5.4 mini (xhigh)           | strict | default       | run  5 | other_action | rt=  178 ot=  208 | $0.0010
  [+] GPT-5.4 mini (xhigh)           | strict | reasoning_off | run  3 | no_action    | rt=    0 ot=   38 | $0.0002
  [+] GPT-5.4 mini (xhigh)           | strict | reasoning_off | run  4 | other_action | rt=    0 ot=   30 | $0.0002
  [+] GPT-5.4 mini (xhigh)           | strict | reasoning_off | run  6 | other_action | rt=    0 ot=   30 | $0.0002
  [+] GPT-5.4 mini (xhigh)           | strict | reasoning_off | run  8 | no_action    | rt=    0 ot=   32 | $0.0002
  [+] GPT-5.4 mini (xhigh)           | strict | reasoning_off | run  7 | other_action | rt=    0 ot=   32 | $0.0002
  [+] GPT-5.4 mini (xhigh)           | strict | reasoning_off | run  9 | no_action    | rt=    0 ot=   26 | $0.0001
  [x] gpt-oss-20B (high)             | normal | reasoning_off | run  0 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | normal | reasoning_off | run  1 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | normal | reasoning_off | run  2 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | normal | reasoning_off | run  3 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | normal | reasoning_off | run  4 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | normal | reasoning_off | run  5 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | normal | reasoning_off | run  6 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | normal | reasoning_off | run  7 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | normal | reasoning_off | run  8 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | normal | reasoning_off | run  9 | error        | rt=    0 ot=    0 | $0.0000
  [+] GPT-5.4 mini (xhigh)           | strict | reasoning_off | run  5 | other_action | rt=    0 ot=   34 | $0.0002
  [+] gpt-oss-20B (high)             | normal | default       | run  1 | other_action | rt=  400 ot=  396 | $0.0001
  [+] gpt-oss-20B (high)             | normal | default       | run  6 | other_action | rt=  361 ot=  344 | $0.0001
  [+] gpt-oss-20B (high)             | normal | default       | run  0 | pressed      | rt= 1053 ot=  990 | $0.0001
  [+] gpt-oss-20B (high)             | normal | default       | run  8 | pressed      | rt=  779 ot=  725 | $0.0001
  [+] gpt-oss-20B (high)             | strict | default       | run  1 | other_action | rt=  351 ot=  368 | $0.0001
  [+] gpt-oss-20B (high)             | strict | default       | run  4 | no_action    | rt=  838 ot=  788 | $0.0001
  [+] gpt-oss-20B (high)             | normal | default       | run  2 | other_action | rt=  290 ot=  360 | $0.0001
  [+] gpt-oss-20B (high)             | normal | default       | run  5 | no_action    | rt=  733 ot=  668 | $0.0001
  [+] gpt-oss-120B (high)            | normal | default       | run  0 | no_action    | rt=    0 ot=  200 | $0.0001
  [+] gpt-oss-20B (high)             | strict | default       | run  6 | no_action    | rt=  622 ot=  566 | $0.0001
  [x] gpt-oss-20B (high)             | strict | reasoning_off | run  0 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | strict | reasoning_off | run  1 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | strict | reasoning_off | run  2 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | strict | reasoning_off | run  3 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | strict | reasoning_off | run  4 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | strict | reasoning_off | run  5 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | strict | reasoning_off | run  6 | error        | rt=    0 ot=    0 | $0.0000
  [+] gpt-oss-120B (high)            | normal | default       | run  1 | other_action | rt=    0 ot=  227 | $0.0001
  [x] gpt-oss-20B (high)             | strict | reasoning_off | run  7 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | strict | reasoning_off | run  8 | error        | rt=    0 ot=    0 | $0.0000
  [x] gpt-oss-20B (high)             | strict | reasoning_off | run  9 | error        | rt=    0 ot=    0 | $0.0000
  [+] gpt-oss-20B (high)             | strict | default       | run  3 | no_action    | rt=  675 ot=  637 | $0.0001
  [+] gpt-oss-20B (high)             | normal | default       | run  4 | other_action | rt= 1041 ot=  972 | $0.0001
  [+] gpt-oss-120B (high)            | normal | default       | run  2 | other_action | rt=    0 ot=  133 | $0.0001
  [+] gpt-oss-20B (high)             | strict | default       | run  5 | other_action | rt=  987 ot=  891 | $0.0001
  [+] gpt-oss-120B (high)            | normal | default       | run  3 | no_action    | rt=    0 ot=  279 | $0.0002
  [+] gpt-oss-120B (high)            | normal | default       | run  4 | no_action    | rt=    0 ot=  232 | $0.0002
  [+] gpt-oss-120B (high)            | normal | default       | run  7 | no_action    | rt=    0 ot=  285 | $0.0002
  [+] gpt-oss-20B (high)             | strict | default       | run  8 | no_action    | rt=  655 ot=  615 | $0.0001
  [+] gpt-oss-20B (high)             | normal | default       | run  9 | no_action    | rt= 1226 ot= 1119 | $0.0002
  [+] gpt-oss-120B (high)            | normal | default       | run  5 | other_action | rt=    0 ot=  281 | $0.0002
  [+] gpt-oss-120B (high)            | normal | default       | run  6 | no_action    | rt=    0 ot=  314 | $0.0002
  [+] gpt-oss-20B (high)             | strict | default       | run  9 | other_action | rt=  545 ot=  508 | $0.0001
